epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,398.903,1.52017,1.52895,1.20093,0.94674,0.81161,0.84722,0.43711,1.85645,1.30716,1.16589,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836
2,784.207,1.46648,0.75376,1.18903,0.94779,0.7933,0.83145,0.44191,1.90375,1.38401,1.19468,0.0195894,0.00652979,0.0195894,0.00652979,0.0195894,0.00652979,0.0195894,0.00652979
3,1178.49,1.48195,0.76303,1.20351,0.82727,0.77532,0.76846,0.34734,2.08552,2.10177,1.28243,0.0287977,0.00959922,0.0287977,0.00959922,0.0287977,0.00959922,0.0287977,0.00959922
4,1560.3,1.44761,0.7281,1.18991,0.95103,0.74477,0.79812,0.41646,2.00025,1.31654,1.22258,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1947.4,1.39896,0.67133,1.1619,0.96,0.79843,0.83368,0.44624,1.87741,1.16831,1.15775,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2343.82,1.3678,0.64193,1.1457,0.90137,0.75814,0.80894,0.42105,1.9624,1.51742,1.17912,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2728.77,1.35423,0.62716,1.1367,0.96105,0.81016,0.85191,0.46328,1.78672,1.10297,1.13837,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3115.13,1.34258,0.61222,1.13126,0.97441,0.82312,0.86862,0.49372,1.70586,0.9681,1.10939,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3494.52,1.32731,0.60006,1.12526,0.94991,0.81572,0.85745,0.48025,1.7682,1.03643,1.11953,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3875.18,1.31588,0.58998,1.11744,0.96745,0.82674,0.86214,0.48774,1.70155,0.99541,1.10508,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4256.4,1.30766,0.5847,1.11599,0.96879,0.83602,0.87196,0.49516,1.67128,0.96092,1.09426,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4636.3,1.30392,0.57467,1.11282,0.97359,0.82376,0.8667,0.48317,1.7052,0.95522,1.10572,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5018.98,1.29651,0.57004,1.10901,0.96958,0.83484,0.87281,0.49553,1.66594,0.93959,1.09241,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5400.74,1.29006,0.56411,1.10475,0.96982,0.83003,0.86569,0.49345,1.68994,0.94366,1.10133,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5781.99,1.28063,0.55669,1.10225,0.97064,0.84337,0.8729,0.49929,1.67137,0.94676,1.09339,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6162.92,1.27163,0.54728,1.09897,0.96962,0.84296,0.87392,0.49884,1.67766,0.92764,1.09422,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6542.74,1.27407,0.548,1.09678,0.97591,0.83568,0.87211,0.49633,1.6783,0.94025,1.09489,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6922.56,1.26665,0.54398,1.09328,0.97966,0.83565,0.87237,0.50067,1.66292,0.94289,1.08948,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7300.43,1.25842,0.53817,1.0916,0.97475,0.8343,0.87048,0.50227,1.67386,0.95135,1.09215,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7678.13,1.25402,0.53486,1.08859,0.97638,0.83667,0.87161,0.50267,1.66997,0.94195,1.09183,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8057.4,1.24823,0.5302,1.08567,0.97718,0.83489,0.87058,0.50309,1.66479,0.94965,1.08997,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8435.26,1.24622,0.52664,1.08444,0.97295,0.83343,0.86915,0.50189,1.66695,0.96361,1.09027,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,399.025,1.23756,0.52049,1.08152,0.9739,0.83441,0.86964,0.50373,1.66159,0.95588,1.0889,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,780.855,1.23221,0.51788,1.07859,0.97288,0.83494,0.8698,0.5043,1.66049,0.95453,1.08846,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,1162.4,1.23662,0.51702,1.08102,0.97183,0.83664,0.86916,0.50357,1.66057,0.95311,1.08802,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,1547.01,1.23081,0.51413,1.0799,0.97231,0.83656,0.86975,0.50432,1.65943,0.9495,1.08723,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
